plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,occupants,hot_water_fixtures
0.993,0.541,0,0.979,0.979,0.318,1,0,0,0,0,1,0.0827
0.993,0.541,0,0.979,0.979,0.241,0.8,0,0,0,0,1,0.0827
0.993,0.541,0,0.979,0.979,0.241,0,0,0,0,0,1,0
0.993,0.541,0,0.979,0.979,0.352,0,0,0,0,0,1,0
0.993,0.541,0,0.979,0.979,0,0,0,0,0,0,1,0
0.973,0.758,0,0.991,0.991,0,0,0,0,0,0,1,0
0.973,0.758,0,0.991,0.991,0,0,0,0,0,0,1,0.0827
0.973,0.758,0,0.991,0.991,0.761,0.4,0,0,0,0,1,0
0.973,0.758,0,0.991,0.991,0.256,1,0,0,0,0,1,0
0.973,0.758,0,0.991,0.991,0.256,1,0,0,0,0,1,0
0.973,0.758,0,0.991,0.991,0.312,0.8,0,0,0,0,1,0
0.934,0.936,0,0.823,0.823,0.42,0,0,0,0,0,1,0
0.934,0.936,0,0.823,0.823,0.483,0,0,0,0,0,1,0.165
0.934,0.936,0,0.823,0.823,0,0,0,0,0,0,1,0
0.934,0.936,0,0.823,0.823,0,0,0,0,0,0,1,0
0.934,0.936,0,0.823,0.823,0.341,0,0,0,0,0,1,0
0.934,0.936,0,0.823,0.823,0.301,0,0,0,0,0,1,0
0.857,0.887,0,0.621,0.621,0.545,0,0,0,0,0,1,0
0.857,0.887,0,0.621,0.621,0.438,0,0,0,0,0,1,0
0.857,0.887,0,0.621,0.621,0.307,0,0,0,0,0,1,0.101
0.758,0.596,0.14,0.43,0.43,0.278,0,0,0,0,0,1,0.151
0.758,0.596,0.14,0.43,0.43,0,0,0,0,0,0,1,0
0.758,0.596,0.14,0.43,0.43,0,0,0,0,0,0,1,0
0.706,0.363,0.14,0.374,0.374,0,0,0,0,0,0,1,0
0.706,0.363,0.14,0.374,0.374,0,0,0,0,0,0,1,0.168
0.706,0.363,0.14,0.374,0.374,0,0,0,0,0,0,1,0
0.634,0.189,0.281,0.212,0.212,0,0,0,0,0,0,1,0
0.634,0.189,0.281,0.212,0.212,0,0,0,0,0,0,1,0.0486
0.634,0.189,0.281,0.212,0.212,0,0,0,0,0,0,1,0.17
0.614,0.0879,0.281,0.116,0.116,0,0,0,0,0,0,1,0
0.614,0.0879,0.281,0.116,0.116,0,0,0,0,0,0,1,0
0.614,0.0879,0.281,0.116,0.116,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.608,0.026,0.281,0.0578,0.0578,0,0,0,0,0,0,1,0
0.608,0.026,0.281,0.0578,0.0578,0,0,0,0,0,0,1,0.0827
0.608,0.026,0.281,0.0578,0.0578,0,0,0,0,0,0,1,0
0.608,0.0183,0.281,0.0495,0.0495,0,0,0,0,0,0,1,0
0.608,0.0183,0.281,0.0495,0.0495,0,0,0,0,0,0,1,0.165
0.608,0.0183,0.281,0.0495,0.0495,0,0,0,0,0,0,1,0.165
0.608,0.0183,0.281,0.0495,0.0495,0,0,0,0,0,0,1,0
0.608,0.0183,0.281,0.0495,0.0495,0,0,0,0,0,0,1,0
0.608,0.0183,0.281,0.0495,0.0495,0,0,0,0,0,0,1,0
0.608,0.0166,0.281,0.0495,0.0495,0,0,0,0,0,0,1,0
0.608,0.0166,0.281,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0.174
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0.0827
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.608,0.02,0.281,0.0513,0.0513,0,0,0,0,0,0,1,0.264
0.608,0.02,0.281,0.0513,0.0513,0,0,0,0,0,0,1,0.132
0.608,0.02,0.281,0.0513,0.0513,0,0,0,0,0,0,1,0
0.608,0.02,0.281,0.0513,0.0513,0,0,0,0,0,0,1,0
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,0,1,0
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,0,1,0.606
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,0,1,0.193
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,0,1,0.216
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,0,1,0
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,0,1,0
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0,1,0
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0,1,0
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0,1,0
0.621,0.0355,0.281,0.151,0.151,0,0,0,0,0,0,0.667,0
0.621,0.0355,0.281,0.151,0.151,0,0,0,0,0,0,0.667,0
0.621,0.0355,0.281,0.151,0.151,0,0,0,0,0,0,0.667,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0.333,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0.333,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0.333,0.0978
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0.333,0.0733
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0.333,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0.333,0
0.647,0.0527,0.281,0.192,0.192,0,0,0,0,0,0,0.333,0
0.647,0.0527,0.281,0.192,0.192,0,0,0,0,0,0,0.333,0
0.647,0.0527,0.281,0.192,0.192,0.5,0.4,0,0,0,0,0.333,0
0.647,0.0527,0.281,0.192,0.192,0.511,1,0,0,0,0,0.333,0
0.647,0.0527,0.281,0.192,0.192,0,1,0,0,0,0,0.333,0.0827
0.647,0.0527,0.281,0.192,0.192,0.489,0.8,0,0,0,0,0.333,0
0.647,0.0604,0.281,0.196,0.196,0.455,0,0,0,0,0,0.333,0
0.647,0.0604,0.281,0.196,0.196,0,0,0,0,0,0,0.333,0
0.647,0.0604,0.281,0.196,0.196,0,0,0,0,0,0,0.333,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0.9,0,0.331
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0.6,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,0,0
0.647,0.0759,0.281,0.181,0.181,0,0,0,0,0,0,0.333,0
0.647,0.0845,0.281,0.18,0.18,0,0,0,0,0,0,0.333,0
0.647,0.0845,0.281,0.18,0.18,0,0,0,0,0,0,0.333,0.0827
0.647,0.0845,0.281,0.18,0.18,0,0,0,0,0,0,0.333,0.165
