occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_showers,hot_water_showers_minutes,hot_water_fixtures,electric_vehicle
1,0.573,0.0217,0.4,0.0547,0,0,0,0,0,0,0,0,0,1
1,0.57,0.0185,0.407,0.0518,0,0,0,0,0,0,0,0,0,1
1,0.594,0.0207,0.337,0.0526,0,0,0,0,0,0,0,0,0.0369,1
1,0.582,0.018,0.372,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.578,0.0185,0.386,0.0514,0,0,0,0,0,0,0.226,11,0.187,1
1,0.594,0.0228,0.337,0.0652,0,0,0,0,0,0,0.208,10,0.433,1
0.967,0.623,0.0368,0.281,0.142,0,0,0,0,0,0,0.17,8,0.224,-0.167
0.667,0.622,0.0387,0.309,0.148,0,0,0,0,0,0,0.0966,5,0.285,-0.767
0.6,0.685,0.0721,0.225,0.254,0,0,0,0,0,0,0.284,14,0.262,0
0.483,0.691,0.0831,0.218,0.267,0.675,0.667,0,0,0,0,0.0944,5,0.0995,0
0.2,0.617,0.0493,0.337,0.14,0,1,0,0,0,0,0,0,0.184,0
0.15,0.605,0.044,0.358,0.115,0,0.217,0,0,0,0,0,0,0.111,0
0.2,0.617,0.0561,0.337,0.133,0.127,0.167,0,0,0,0,0,0,0.111,0
0.383,0.665,0.101,0.26,0.206,0.707,1,0,0,0,0.25,0,0,0.369,0
0.4,0.669,0.111,0.253,0.214,0,0.717,0,0,0,0,0,0,0.0369,0
0.4,0.679,0.121,0.253,0.226,0,0,0,0,0,0,0,0,0.147,-0.0833
0.433,0.712,0.156,0.239,0.282,0,0,0,0,0,0,0,0,0.295,-0.833
0.783,0.876,0.328,0.0912,0.604,0,0,0,0,0,0,0.0535,3,0.257,1
0.85,0.929,0.458,0.0632,0.805,0,0,0,0,0,0.25,0,0,0.147,1
0.8,0.868,0.537,0.119,0.742,0,0,0,0,0,0,0,0,0.147,1
0.8,0.799,0.583,0.168,0.563,0,0,0,0,0,0,0,0,0.184,1
0.833,0.662,0.296,0.302,0.249,0,0,0,0,0,0,0,0,0.18,1
0.817,0.571,0.0333,0.414,0.0607,0,0,0,0,0,0,0,0,0,1
0.933,0.587,0.0489,0.365,0.0783,0,0,0,0,0,0,0,0,0,1
1,0.576,0.0332,0.393,0.0646,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.585,0.0192,0.365,0.0517,0,0,0,0,0,0,0.0991,5,0.0658,1
1,0.599,0.0239,0.323,0.0687,0,0,0,0,0,0,0.283,14,0.335,1
1,0.632,0.039,0.253,0.149,0,0,0,0,0,0,0.0828,4,0.166,1
1,0.685,0.0642,0.196,0.257,0,0,0,0,0,0.417,0.161,8,0.107,1
1,0.751,0.101,0.112,0.368,0,0,0,0,0,0.867,0.375,19,0.433,1
1,0.781,0.133,0.0702,0.425,0,0,0,0,0,0,0.31,15,0.206,1
0.683,0.742,0.125,0.133,0.355,0,0,0,0,0,0,0.119,6,0.227,-0.533
0.467,0.686,0.1,0.225,0.251,0,0,0,0,0,0,0.2,10,0.391,0
0.4,0.669,0.0948,0.253,0.216,0,0,0.169,0.417,0,0,0.256,13,0.244,0
0.4,0.669,0.104,0.253,0.213,0,0,0.571,0.55,0.45,0,0.111,6,0.258,0
0.4,0.622,0.0681,0.33,0.139,0,0,0.528,0,1,0,0,0,0.147,0
0.4,0.633,0.0785,0.323,0.154,0,0,0,0,1,0,0,0,0.111,-0.433
0.767,0.825,0.263,0.0982,0.46,0,0,0,0,0,0.767,0.205,10,0.284,-0.0833
0.8,0.882,0.334,0.0842,0.613,0,0,0,0,0,0,0.0875,5,0.132,1
0.667,0.85,0.36,0.14,0.639,0,0,0,0,0,0,0,0,0.295,-0.0833
0.783,0.896,0.595,0.0912,0.806,0,0,0,0,0,0.25,0.239,12,0.269,-0.0667
0.8,0.856,0.731,0.105,0.685,0,0,0,0,0,0,0,0,0.406,1
0.8,0.825,0.795,0.0842,0.576,0,0,0,0,0,0,0.192,9,0.128,1
0.833,0.681,0.347,0.225,0.299,0,0,0,0,0,0,0.273,9,0.181,1
1,0.636,0.158,0.26,0.174,0,0,0,0,0,0,0.212,10,0.141,1
1,0.576,0.0332,0.393,0.0646,0,0,0,0,0,0,0.0212,1,0.0141,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.585,0.0192,0.365,0.0517,0,0,0,0,0,0.25,0,0,0.361,1
1,0.575,0.0183,0.393,0.0513,0,0,0,0,0,0,0,0,0.0369,1
1,0.572,0.0195,0.407,0.0614,0,0,0,0,0,0,0.211,10,0.14,1
0.967,0.621,0.0392,0.316,0.147,0,0,0,0,0,0,0.0912,5,0.185,1
0.767,0.608,0.0359,0.351,0.122,0,0,0,0,0,0,0.2,10,0.207,-0.167
0.6,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0.201,10,0.133,-0.483
0.6,0.609,0.0451,0.351,0.124,0,0,0,0,0,0.167,0,0,0.0369,0
0.6,0.669,0.0891,0.253,0.222,0,0,0,0,0,0.6,0,0,0.0737,0
0.6,0.703,0.121,0.196,0.27,0,0,0,0,0,0,0.209,10,0.175,0
0.6,0.721,0.147,0.168,0.293,0,0,0,0,0,0,0.171,9,0.224,0
0.517,0.699,0.138,0.204,0.261,0,0,0,0,0,0,0.208,10,0.286,0
0.433,0.689,0.131,0.239,0.242,0,0,0,0,0,0,0,0,0.258,-0.633
0.683,0.797,0.236,0.133,0.416,0,0,0,0,0,0.417,0,0,0.184,1
0.8,0.882,0.334,0.0842,0.613,0,0,0,0,0,0.35,0,0,0.184,1
0.8,0.908,0.437,0.0842,0.766,0,0,0,0,0,0,0,0,0.221,1
0.7,0.861,0.523,0.126,0.726,0,0,0,0,0,0,0,0,0.147,-0.0833
0.983,0.898,0.812,0.0632,0.782,0,0,0,0,0,0,0,0,0.221,1
1,0.825,0.795,0.0842,0.576,0,0,0,0,0,0,0.265,13,0.176,1
1,0.685,0.376,0.232,0.299,0,0,0,0,0,0,0.125,6,0.0828,1
1,0.602,0.0869,0.337,0.112,0,0,0,0,0,0,0,0,0.0737,1
1,0.588,0.0404,0.358,0.071,0,0,0,0,0,0,0,0,0,1
1,0.594,0.0276,0.337,0.0594,0,0,0,0,0,0,0,0,0,1
1,0.589,0.0204,0.351,0.0526,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
0.917,0.573,0.0181,0.4,0.0512,0,0,0,0,0,0,0.233,11,0.155,-0.1
0.883,0.603,0.0253,0.309,0.0738,0,0,0,0,0,0.25,0.534,16,0.465,-0.0833
1,0.638,0.0412,0.239,0.159,0,0,0,0,0,0,0.228,11,0.262,1
0.867,0.665,0.0558,0.225,0.223,0,0,0,0,0,0.25,0.239,11,0.473,1
0.8,0.666,0.0624,0.253,0.223,0,0,0,0,0,0,0.181,9,0.194,1
0.8,0.716,0.0981,0.175,0.313,0.77,0.917,0,0,0,0,0.152,7,0.285,1
0.933,0.789,0.157,0.0561,0.435,0.312,0.967,0.13,0.233,0.267,0.25,0.925,19,0.872,1
0.867,0.789,0.172,0.0561,0.422,0,0,0.228,0,0,0,0.142,7,0.131,1
0.733,0.755,0.159,0.112,0.353,0,0,0,0,0,0,0.426,13,0.467,-0.167
0.433,0.678,0.111,0.239,0.226,0,0,0,0,0,0,0.486,21,0.359,-0.283
0.417,0.673,0.115,0.246,0.221,0,0,0,0,0,0,0.129,6,0.123,0
0.4,0.679,0.121,0.253,0.226,0,0,0,0,0,0,0,0,0.369,0
0.533,0.748,0.19,0.196,0.339,0.616,0.667,0,0,0,0,0,0,0.221,0
0.683,0.838,0.29,0.133,0.537,0.634,0.95,0,0,0,0.667,0,0,0.111,-0.433
0.8,0.908,0.437,0.0842,0.766,0.779,0.417,0,0,0,0.367,0,0,0,1
0.667,0.792,0.388,0.196,0.564,0.743,1,0,0,0,0,0.275,14,0.182,-0.0667
0.867,0.823,0.653,0.14,0.613,0.576,0.867,0,0,0,0,0,0,0.147,-0.0667
1,0.76,0.588,0.175,0.449,0.181,0.683,0,0,0,0,0,0,0,1
1,0.664,0.297,0.253,0.263,0,0,0,0,0,0,0,0,0,1
1,0.638,0.157,0.253,0.173,0,0,0,0,0,0,0,0,0,1
1,0.618,0.0717,0.274,0.0949,0,0,0,0,0,0,0,0,0,1
1,0.603,0.0353,0.309,0.0611,0,0,0,0,0,0,0.247,12,0.164,1
1,0.566,0.0199,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0199,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0199,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0199,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0199,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.606,0.0368,0.351,0.119,0,0,0,0,0,0,0.317,15,0.321,1
0.817,0.673,0.0925,0.246,0.233,0,0,0,0,0,0.25,0.391,19,0.333,1
0.6,0.669,0.114,0.253,0.231,0,0,0,0,0,0,0.264,8,0.397,1
0.6,0.712,0.184,0.182,0.301,0,0,0,0,0,0,0.2,10,0.48,1
0.6,0.721,0.213,0.168,0.305,0,0,0,0,0,0,0.195,10,0.659,1
0.65,0.734,0.247,0.147,0.317,0,0,0,0,0,0,0.299,9,0.53,1
0.533,0.703,0.237,0.196,0.266,0.677,0.833,0,0,0,0,0.353,17,0.493,-0.167
0.567,0.708,0.281,0.189,0.276,0.524,0.783,0,0,0,0,0.266,13,0.213,0
0.717,0.702,0.265,0.225,0.259,0.197,0,0,0,0,0.25,0.129,6,0.159,-0.15
0.633,0.756,0.326,0.189,0.352,0,0,0,0,0,0,0,0,0.111,1
0.717,0.857,0.435,0.119,0.583,0,0,0,0,0,0,0,0,0.221,1
0.8,0.911,0.557,0.0842,0.791,0.26,0.333,0,0,0,0,0,0,0.295,1
0.8,0.9,0.72,0.0842,0.824,0.637,1,0,0,0,0,0,0,0.0737,1
0.8,0.865,0.841,0.0912,0.697,0,0.283,0,0,0,0,0,0,0.0369,1
0.8,0.702,0.458,0.239,0.326,0,0,0,0,0,0,0,0,0.147,1
0.867,0.659,0.292,0.253,0.257,0,0,0,0,0,0,0.303,14,0.238,1
1,0.634,0.151,0.253,0.153,0,0,0,0,0,0,0,0,0.0737,1
1,0.612,0.064,0.288,0.0837,0,0,0,0,0,0,0.128,6,0.122,1
1,0.566,0.0199,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0199,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0199,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0199,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.575,0.0212,0.393,0.0579,0,0,0,0,0,0,0,0,0.0369,1
0.933,0.588,0.0253,0.365,0.0858,0,0,0,0,0,0,0,0,0,-0.0833
0.917,0.606,0.0368,0.351,0.119,0,0,0,0,0,0,0.158,8,0.105,-0.0667
1,0.703,0.114,0.196,0.284,0,0,0,0,0,0.25,0.566,16,0.523,1
0.533,0.686,0.128,0.225,0.261,0,0,0,0,0,0,0.224,11,0.222,-0.333
0.2,0.617,0.0774,0.337,0.139,0,0,0,0,0,0,0,0,0,-0.0167
0.2,0.617,0.0843,0.337,0.136,0,0,0,0,0,0,0,0,0.258,0
0.2,0.617,0.0896,0.337,0.133,0,0,0,0,0,0,0,0,0.147,0
0.433,0.678,0.2,0.239,0.226,0,0,0,0,0,0.517,0,0,0.111,-0.333
0.55,0.708,0.279,0.189,0.276,0,0,0,0,0,0,0,0,0.184,1
0.6,0.74,0.335,0.168,0.318,0,0,0,0,0,0,0,0,0.221,1
0.733,0.821,0.429,0.112,0.456,0,0,0,0,0,0,0,0,0.147,1
0.933,0.943,0.559,0.0281,0.736,0,0,0,0,0,0,0,0,0.147,1
0.867,0.933,0.591,0.0632,0.839,0,0,0,0,0,0,0,0,0.147,1
1,0.928,0.78,0.0561,0.889,0,0,0,0,0,0,0,0,0.0369,1
1,0.885,0.889,0.0702,0.743,0,0,0,0,0,0,0,0,0,1
1,0.814,0.824,0.0842,0.549,0,0,0,0,0,0,0.391,15,0.333,1
1,0.737,0.523,0.112,0.43,0,0,0,0,0,0,0.038,2,0.173,1
1,0.657,0.199,0.196,0.19,0,0,0,0,0,0,0,0,0.0369,1
1,0.579,0.0386,0.386,0.0659,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
0.917,0.623,0.0378,0.288,0.15,0,0,0,0,0,0.25,0,0,0.111,1
0.767,0.677,0.061,0.211,0.243,0,0,0,0,0,0.167,0,0,0,-0.167
0.6,0.666,0.0624,0.253,0.223,0,0,0,0,0,0.6,0.0854,4,0.204,-0.783
0.467,0.635,0.053,0.309,0.17,0,0,0,0,0,0,0.197,10,0.315,0
0.433,0.626,0.0548,0.323,0.154,0,0,0,0,0,0,0.118,6,0.152,0
0.467,0.669,0.0891,0.253,0.222,0,0,0,0,0,0,0,0,0.147,0
0.267,0.635,0.0685,0.309,0.161,0,0,0,0,0,0,0,0,0.0369,0
0.383,0.617,0.0606,0.337,0.132,0,0,0,0,0,0,0,0,0.0369,0
0.4,0.626,0.0723,0.323,0.146,0,0,0,0,0,0,0,0,0.111,0
0.533,0.719,0.158,0.196,0.287,0,0,0,0,0,0.167,0.201,10,0.354,0
0.6,0.768,0.208,0.168,0.369,0,0,0,0,0,0.767,0.0407,2,0.285,0
0.6,0.803,0.255,0.168,0.472,0,0,0,0,0,0.25,0.102,5,0.289,-0.85
0.783,0.88,0.401,0.112,0.705,0,0,0,0,0,0.35,0.121,6,0.117,-0.0833
0.8,0.903,0.604,0.0842,0.822,0,0,0,0,0,0,0.307,15,0.315,1
0.983,0.948,0.946,0.00702,0.888,0,0,0,0,0,0.25,0.106,5,0.513,1
1,0.85,0.862,0.0561,0.629,0,0,0,0,0,0,0.35,17,0.232,1
1,0.733,0.5,0.14,0.408,0,0,0,0,0,0,0.116,6,0.188,1
1,0.674,0.226,0.168,0.233,0,0,0,0,0,0,0.335,12,0.223,1
1,0.613,0.0674,0.288,0.0945,0,0,0,0,0,0,0.161,8,0.221,1
1,0.596,0.0291,0.33,0.0607,0,0,0,0,0,0,0.236,11,0.157,1
1,0.594,0.0207,0.337,0.0526,0,0,0,0,0,0,0.407,20,0.307,1
1,0.594,0.0182,0.337,0.0509,0,0,0,0,0,0,0.0908,5,0.208,1
1,0.594,0.0194,0.337,0.0517,0,0,0,0,0,0,0.261,13,0.394,1
1,0.599,0.0239,0.323,0.0687,0,0,0,0,0,0,0.0814,4,0.275,1
1,0.632,0.039,0.253,0.149,0,0,0,0,0,0.25,0.417,20,0.424,1
0.783,0.602,0.0308,0.344,0.113,0,0,0,0,0,0,0,0,0,-0.417
0.6,0.6,0.0335,0.365,0.11,0,0,0,0,0,0.667,0,0,0.0369,-0.6
0.6,0.652,0.0645,0.281,0.201,0,0,0,0,0,0.367,0.197,10,0.315,0
0.6,0.669,0.0812,0.253,0.229,0,0,0.192,0.667,0,0,0.193,9,0.239,0
0.6,0.669,0.0891,0.253,0.222,0,0,0.807,0.3,0.7,0.25,0,0,0.258,0
0.6,0.669,0.0948,0.253,0.216,0,0,0.687,0,0.117,0,0,0,0,0
0.567,0.669,0.104,0.253,0.213,0,0,0.449,0,0,0,0,0,0.0737,0
0.4,0.669,0.111,0.253,0.214,0,0,0.375,0,0,0,0,0,0.0369,0
0.483,0.704,0.144,0.218,0.264,0,0,0.495,0,0,0,0,0,0.0737,0
0.6,0.768,0.208,0.168,0.369,0,0,0.455,0,0,0,0,0,0.0737,0
0.567,0.748,0.198,0.225,0.37,0,0,0.522,0,0,0,0,0,0.0369,-0.433
0.483,0.773,0.275,0.218,0.488,0,0,0.522,0,0,0,0,0,0.258,-0.583
0.7,0.861,0.527,0.126,0.726,0,0,0.616,0,0,0,0.104,5,0.253,1
0.6,0.799,0.583,0.168,0.563,0,0,0.339,0,0,0,0.209,10,0.139,1
0.733,0.799,0.728,0.112,0.523,0,0,0.481,0,0,0,0.203,10,0.134,1
0.8,0.674,0.348,0.253,0.274,0,0,0.313,0,0,0,0,0,0,1
0.8,0.602,0.0869,0.337,0.112,0,0,0,0,0,0,0,0,0,1
0.85,0.602,0.0491,0.316,0.0786,0,0,0,0,0,0,0,0,0.0737,1
0.8,0.575,0.0232,0.393,0.056,0,0,0,0,0,0,0,0,0,1
0.8,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
0.8,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
0.933,0.57,0.0178,0.407,0.0511,0,0,0,0,0,0,0,0,0.0737,1
0.967,0.589,0.0216,0.351,0.0618,0,0,0,0,0,0,0,0,0.147,-0.167
0.633,0.596,0.0281,0.351,0.103,0,0,0,0,0,0,0.0984,5,0.287,-0.783
0.45,0.662,0.0547,0.232,0.218,0,0,0,0,0,0,0,0,0.258,0
0.3,0.642,0.0516,0.295,0.18,0,0,0,0,0,0,0.121,6,0.154,0
0.4,0.669,0.0725,0.253,0.23,0,0,0,0,0,0,0.18,9,0.156,0
0.4,0.669,0.0812,0.253,0.229,0,0,0.0805,0.417,0,0,0,0,0,0
0.4,0.669,0.0891,0.253,0.222,0,0,0.512,0.3,0.267,0,0,0,0.0737,0
0.4,0.669,0.0948,0.253,0.216,0,0,0.576,0,0,0,0,0,0.111,0
0.55,0.708,0.136,0.189,0.273,0,0,0.512,0,0,0.517,0,0,0.184,0
0.533,0.703,0.143,0.196,0.269,0,0,0.443,0,0,0,0,0,0.258,0
0.467,0.697,0.137,0.225,0.254,0,0,0.308,0,0,0,0,0,0.0737,-0.85
0.45,0.715,0.158,0.232,0.285,0,0,0,0,0,0,0,0,0.332,-0.0833
0.617,0.814,0.267,0.161,0.499,0,0,0.337,0.417,0,0,0,0,0.0369,1
0.8,0.908,0.437,0.0842,0.766,0,0,0.317,0.3,0.267,0,0,0,0.0737,1
0.617,0.826,0.467,0.161,0.645,0,0,0.749,0,0,0,0,0,0.0737,-0.183
0.6,0.799,0.583,0.168,0.563,0,0,0.345,0,0,0,0,0,0,-0.1
0.967,0.867,0.924,0.0281,0.662,0,0,0.472,0,0,0,0.211,10,0.285,-0.0833
1,0.733,0.5,0.14,0.408,0,0,0.432,0,0,0,0.118,6,0.25,1
1,0.628,0.146,0.281,0.164,0,0,0.486,0,0,0,0,0,0,1
0.95,0.583,0.0375,0.372,0.0684,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
0.867,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
0.8,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
0.767,0.609,0.0375,0.351,0.124,0,0,0,0,0,0,0.2,10,0.206,1
0.567,0.66,0.0677,0.267,0.215,0,0,0,0,0,0,0.147,7,0.335,-0.167
0.217,0.579,0.0254,0.4,0.0731,0,0,0,0,0,0,0.188,9,0.125,-0.417
0.2,0.617,0.0532,0.337,0.136,0,0,0,0,0,0,0.126,6,0.231,0
0.2,0.617,0.0561,0.337,0.133,0,0,0,0,0,0,0.181,9,0.231,0
0.233,0.605,0.0493,0.358,0.112,0,0,0,0,0,0,0.0731,4,0.0854,0
0.433,0.635,0.0803,0.309,0.16,0,0,0.13,0.167,0,0.167,0,0,0.147,0
0.6,0.736,0.174,0.168,0.314,0,0,0.54,0.317,0.267,0.0833,0,0,0.332,-0.483
0.783,0.83,0.267,0.0912,0.467,0,0,0.393,0,0,0,0,0,0.0737,-0.0833
0.933,0.937,0.39,0.0281,0.716,0,0,0.655,0,0,0,0,0,0.147,1
0.867,0.936,0.465,0.0561,0.817,0,0,0.737,0,0,0.167,0,0,0.332,1
0.8,0.903,0.604,0.0842,0.822,0,0,0,0,0,0.0833,0,0,0.184,1
0.983,0.948,0.946,0.00702,0.888,0,0,0,0,0,0,0.266,14,0.545,1
1,0.85,0.862,0.0561,0.629,0,0,0,0,0,0,0.123,6,0.266,1
1,0.733,0.5,0.14,0.408,0,0,0,0,0,0,0.228,11,0.372,1
1,0.62,0.134,0.302,0.153,0,0,0,0,0,0,0.154,8,0.103,1
1,0.583,0.0375,0.372,0.0684,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.566,0.0174,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.614,0.0346,0.309,0.135,0,0,0,0,0,0.25,0.22,11,0.33,1
0.733,0.593,0.0275,0.365,0.0976,0,0,0,0,0,0,0.226,11,0.334,-0.917
0.6,0.574,0.0214,0.407,0.0656,0,0,0,0,0,0,0.17,8,0.187,-0.217
0.467,0.617,0.045,0.337,0.141,0.474,0.667,0,0,0,0,0.187,9,0.382,0
0.4,0.617,0.0493,0.337,0.14,0.379,0.95,0,0,0,0,0,0,0.0737,0
0.4,0.617,0.0532,0.337,0.136,0,0,0,0,0,0,0,0,0.442,0
0.4,0.617,0.0561,0.337,0.133,0,0,0,0,0,0,0,0,0,0
0.4,0.617,0.0606,0.337,0.132,0,0,0,0,0,0,0,0,0.0737,0
0.4,0.626,0.0723,0.323,0.146,0,0,0,0,0,0,0,0,0.332,0
0.4,0.679,0.121,0.253,0.226,0,0,0,0,0,0,0,0,0.369,0
0.4,0.7,0.144,0.253,0.263,0,0,0.611,0.233,0.433,0,0,0,0.0369,0
0.433,0.738,0.19,0.239,0.358,0,0,0.519,0,0.1,0.167,0,0,0.147,0
0.567,0.808,0.313,0.182,0.555,0,0,0,0,0,0.0833,0,0,0.221,-0.783
0.533,0.79,0.419,0.196,0.566,0,0,0,0,0,0,0,0,0.0369,-0.333
0.733,0.849,0.717,0.112,0.669,0,0,0,0,0,0,0,0,0.184,1
0.767,0.815,0.763,0.0982,0.557,0,0,0,0,0,0.25,0.213,10,0.141,1
0.633,0.662,0.303,0.267,0.252,0,0,0,0,0,0,0.147,7,0.245,1
0.8,0.624,0.137,0.288,0.155,0,0,0,0,0,0,0.0839,4,0.0557,1
0.883,0.593,0.0464,0.344,0.0735,0,0,0,0,0,0,0,0,0,1
1,0.599,0.0339,0.323,0.0603,0,0,0,0,0,0,0.112,6,0.111,1
1,0.578,0.022,0.386,0.0518,0,0,0,0,0,0,0.076,4,0.0504,1
1,0.566,0.0199,0.421,0.0509,0,0,0,0,0,0,0,0,0,1
1,0.589,0.0217,0.351,0.0519,0,0,0,0,0,0,0,0,0.258,1
1,0.603,0.0248,0.309,0.0755,0,0,0,0,0,0,0.245,12,0.273,1
1,0.635,0.0371,0.253,0.162,0,0,0,0,0,0,0,0,0.0737,1
1,0.653,0.0552,0.26,0.202,0,0,0,0,0,0,0.106,5,0.291,1
0.933,0.686,0.102,0.225,0.255,0.278,0.333,0,0,0,0,0.19,9,0.163,1
0.8,0.712,0.155,0.182,0.307,0.305,1,0,0,0,0.517,0,0,0.0369,1
0.733,0.746,0.222,0.126,0.36,0,0.55,0,0,0,0.517,0.0658,4,0.0806,-0.283
0.583,0.716,0.208,0.175,0.298,0,0,0,0,0,0.517,0.134,7,0.2,0
0.3,0.643,0.124,0.295,0.174,0,0,0,0,0,0,0.249,12,0.313,0
0.4,0.669,0.184,0.253,0.212,0,0,0,0,0,0,0,0,0.147,-0.367
0.4,0.669,0.209,0.253,0.214,0,0,0,0,0,0,0,0,0.147,-0.0333
0.567,0.732,0.319,0.182,0.305,0,0,0.142,0.0833,0,0,0,0,0.147,-0.1
0.65,0.791,0.382,0.147,0.409,0,0,0.228,0.633,0.267,0,0,0,0.111,1
0.6,0.809,0.367,0.168,0.493,0,0,0,0,0,0,0,0,0.0737,1
0.617,0.803,0.388,0.189,0.558,0,0,0,0,0,0,0,0,0.0737,1
0.8,0.817,0.545,0.168,0.631,0,0,0,0,0,0,0,0,0.0369,1
0.8,0.795,0.649,0.168,0.545,0,0,0,0,0,0,0.282,14,0.335,1
