occupants,cooking_range,plug_loads_tv,plug_loads_other,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,hot_water_clothes_washer,clothes_washer,clothes_dryer,hot_water_dishwasher,dishwasher,hot_water_fixtures,refrigerator
1,0.0381,0.0835,0.431,0.124,0.286,0.286,0,0.102,0.102,0.123,0.11,0.11,0.138,0.8
1,0.0381,0.0406,0.407,0.0743,0.286,0.286,0,0.0796,0.0796,0.0741,0.0515,0.0515,0.069,0.78
1,0.0218,0.0203,0.394,0.0495,0.286,0.286,0,0.0455,0.0455,0.0494,0.0368,0.0368,0.046,0.76
1,0.0218,0.0158,0.382,0.0495,0.286,0.286,0,0.0455,0.0455,0.0247,0.0221,0.0221,0.0575,0.74
1,0.0381,0.0248,0.394,0.0508,0.286,0.286,0,0.0796,0.0796,0.0494,0.0221,0.0221,0.115,0.72
1,0.0599,0.0406,0.407,0.13,0.23,0.23,0,0.125,0.125,0.0741,0.0736,0.0736,0.391,0.72
1,0.136,0.0655,0.456,0.305,0.218,0.218,0,0.25,0.25,0.198,0.147,0.147,0.897,0.76
0.869,0.229,0.0903,0.518,0.386,0.211,0.211,0,0.557,0.557,0.395,0.228,0.228,1,0.8
0.41,0.25,0.111,0.53,0.381,0.205,0.205,0,0.83,0.83,0.593,0.427,0.427,0.92,0.82
0.246,0.261,0.131,0.53,0.362,0.174,0.174,0,0.977,0.977,0.84,0.478,0.478,0.77,0.82
0.246,0.229,0.147,0.53,0.351,0.137,0.137,0,0.955,0.955,0.963,0.412,0.412,0.644,0.8
0.246,0.272,0.163,0.542,0.335,0.0933,0.0933,0,0.852,0.852,1,0.353,0.353,0.54,0.8
0.246,0.31,0.172,0.555,0.324,0.0746,0.0746,0,0.762,0.762,0.914,0.302,0.302,0.46,0.84
0.246,0.25,0.194,0.555,0.32,0.0684,0.0684,0,0.682,0.682,0.827,0.338,0.338,0.402,0.84
0.246,0.31,0.205,0.542,0.32,0.0684,0.0684,0,0.557,0.557,0.704,0.265,0.265,0.379,0.84
0.246,0.24,0.23,0.567,0.321,0.0746,0.0746,0,0.591,0.591,0.753,0.28,0.28,0.356,0.82
0.295,0.501,0.287,0.592,0.324,0.118,0.118,0,0.568,0.568,0.679,0.28,0.28,0.448,0.88
0.541,0.817,0.352,0.641,0.338,0.23,0.23,0,0.557,0.557,0.667,0.361,0.361,0.586,0.96
0.885,0.637,0.474,0.653,0.377,0.305,0.305,0,0.557,0.557,0.63,0.64,0.64,0.69,1
0.885,0.327,0.664,0.616,0.461,0.404,0.404,0,0.557,0.557,0.63,0.817,0.817,0.69,0.96
0.885,0.191,0.82,0.579,0.59,0.566,0.566,0,0.557,0.557,0.642,0.662,0.662,0.632,0.94
1,0.136,0.777,0.555,0.72,0.653,0.653,0,0.534,0.534,0.667,0.493,0.493,0.552,0.92
1,0.0871,0.47,0.493,0.554,0.566,0.566,0,0.364,0.364,0.543,0.324,0.324,0.437,0.88
1,0.0599,0.203,0.444,0.249,0.392,0.392,0,0.193,0.193,0.296,0.228,0.228,0.299,0.82
1,0.0381,0.0835,0.431,0.124,0.286,0.286,0,0.102,0.102,0.123,0.11,0.11,0.138,0.8
1,0.0381,0.0406,0.407,0.0743,0.286,0.286,0,0.0796,0.0796,0.0741,0.0515,0.0515,0.069,0.78
1,0.0218,0.0203,0.394,0.0495,0.286,0.286,0,0.0455,0.0455,0.0494,0.0368,0.0368,0.046,0.76
1,0.0218,0.0158,0.382,0.0495,0.286,0.286,0,0.0455,0.0455,0.0247,0.0221,0.0221,0.0575,0.74
1,0.0381,0.0248,0.394,0.0508,0.286,0.286,0,0.0796,0.0796,0.0494,0.0221,0.0221,0.115,0.72
1,0.0599,0.0406,0.407,0.13,0.23,0.23,0,0.125,0.125,0.0741,0.0736,0.0736,0.391,0.72
1,0.136,0.0655,0.456,0.305,0.218,0.218,0,0.25,0.25,0.198,0.147,0.147,0.897,0.76
0.869,0.229,0.0903,0.518,0.386,0.211,0.211,0,0.557,0.557,0.395,0.228,0.228,1,0.8
0.41,0.25,0.111,0.53,0.381,0.205,0.205,0,0.83,0.83,0.593,0.427,0.427,0.92,0.82
0.246,0.261,0.131,0.53,0.362,0.174,0.174,0,0.977,0.977,0.84,0.478,0.478,0.77,0.82
0.246,0.229,0.147,0.53,0.351,0.137,0.137,0,0.955,0.955,0.963,0.412,0.412,0.644,0.8
0.246,0.272,0.163,0.542,0.335,0.0933,0.0933,0,0.852,0.852,1,0.353,0.353,0.54,0.8
0.246,0.31,0.172,0.555,0.324,0.0746,0.0746,0,0.762,0.762,0.914,0.302,0.302,0.46,0.84
0.246,0.25,0.194,0.555,0.32,0.0684,0.0684,0,0.682,0.682,0.827,0.338,0.338,0.402,0.84
0.246,0.31,0.205,0.542,0.32,0.0684,0.0684,0,0.557,0.557,0.704,0.265,0.265,0.379,0.84
0.246,0.24,0.23,0.567,0.321,0.0746,0.0746,0,0.591,0.591,0.753,0.28,0.28,0.356,0.82
0.295,0.501,0.287,0.592,0.324,0.118,0.118,0,0.568,0.568,0.679,0.28,0.28,0.448,0.88
0.541,0.817,0.352,0.641,0.338,0.23,0.23,0,0.557,0.557,0.667,0.361,0.361,0.586,0.96
0.885,0.637,0.474,0.653,0.377,0.305,0.305,0,0.557,0.557,0.63,0.64,0.64,0.69,1
0.885,0.327,0.664,0.616,0.461,0.404,0.404,0,0.557,0.557,0.63,0.817,0.817,0.69,0.96
0.885,0.191,0.82,0.579,0.59,0.566,0.566,0,0.557,0.557,0.642,0.662,0.662,0.632,0.94
1,0.136,0.777,0.555,0.72,0.653,0.653,0,0.534,0.534,0.667,0.493,0.493,0.552,0.92
1,0.0871,0.47,0.493,0.554,0.566,0.566,0,0.364,0.364,0.543,0.324,0.324,0.437,0.88
1,0.0599,0.203,0.444,0.249,0.392,0.392,0,0.193,0.193,0.296,0.228,0.228,0.299,0.82
1,0.0381,0.0835,0.431,0.124,0.286,0.286,0,0.102,0.102,0.123,0.11,0.11,0.138,0.8
1,0.0381,0.0406,0.407,0.0743,0.286,0.286,0,0.0796,0.0796,0.0741,0.0515,0.0515,0.069,0.78
1,0.0218,0.0203,0.394,0.0495,0.286,0.286,0,0.0455,0.0455,0.0494,0.0368,0.0368,0.046,0.76
1,0.0218,0.0158,0.382,0.0495,0.286,0.286,0,0.0455,0.0455,0.0247,0.0221,0.0221,0.0575,0.74
1,0.0381,0.0248,0.394,0.0508,0.286,0.286,0,0.0796,0.0796,0.0494,0.0221,0.0221,0.115,0.72
1,0.0599,0.0406,0.407,0.13,0.23,0.23,0,0.125,0.125,0.0741,0.0736,0.0736,0.391,0.72
1,0.136,0.0655,0.456,0.305,0.218,0.218,0,0.25,0.25,0.198,0.147,0.147,0.897,0.76
0.869,0.229,0.0903,0.518,0.386,0.211,0.211,0,0.557,0.557,0.395,0.228,0.228,1,0.8
0.41,0.25,0.111,0.53,0.381,0.205,0.205,0,0.83,0.83,0.593,0.427,0.427,0.92,0.82
0.246,0.261,0.131,0.53,0.362,0.174,0.174,0,0.977,0.977,0.84,0.478,0.478,0.77,0.82
0.246,0.229,0.147,0.53,0.351,0.137,0.137,0,0.955,0.955,0.963,0.412,0.412,0.644,0.8
0.246,0.272,0.163,0.542,0.335,0.0933,0.0933,0,0.852,0.852,1,0.353,0.353,0.54,0.8
0.246,0.31,0.172,0.555,0.324,0.0746,0.0746,0,0.762,0.762,0.914,0.302,0.302,0.46,0.84
0.246,0.25,0.194,0.555,0.32,0.0684,0.0684,0,0.682,0.682,0.827,0.338,0.338,0.402,0.84
0.246,0.31,0.205,0.542,0.32,0.0684,0.0684,0,0.557,0.557,0.704,0.265,0.265,0.379,0.84
0.246,0.24,0.23,0.567,0.321,0.0746,0.0746,0,0.591,0.591,0.753,0.28,0.28,0.356,0.82
0.295,0.501,0.287,0.592,0.324,0.118,0.118,0,0.568,0.568,0.679,0.28,0.28,0.448,0.88
0.541,0.817,0.352,0.641,0.338,0.23,0.23,0,0.557,0.557,0.667,0.361,0.361,0.586,0.96
0.885,0.637,0.474,0.653,0.377,0.305,0.305,0,0.557,0.557,0.63,0.64,0.64,0.69,1
0.885,0.327,0.664,0.616,0.461,0.404,0.404,0,0.557,0.557,0.63,0.817,0.817,0.69,0.96
0.885,0.191,0.82,0.579,0.59,0.566,0.566,0,0.557,0.557,0.642,0.662,0.662,0.632,0.94
1,0.136,0.777,0.555,0.72,0.653,0.653,0,0.534,0.534,0.667,0.493,0.493,0.552,0.92
1,0.0871,0.47,0.493,0.554,0.566,0.566,0,0.364,0.364,0.543,0.324,0.324,0.437,0.88
1,0.0599,0.203,0.444,0.249,0.392,0.392,0,0.193,0.193,0.296,0.228,0.228,0.299,0.82
1,0.0381,0.0835,0.431,0.124,0.286,0.286,0,0.102,0.102,0.123,0.11,0.11,0.138,0.8
1,0.0381,0.0406,0.407,0.0743,0.286,0.286,0,0.0796,0.0796,0.0741,0.0515,0.0515,0.069,0.78
1,0.0218,0.0203,0.394,0.0495,0.286,0.286,0,0.0455,0.0455,0.0494,0.0368,0.0368,0.046,0.76
1,0.0218,0.0158,0.382,0.0495,0.286,0.286,0,0.0455,0.0455,0.0247,0.0221,0.0221,0.0575,0.74
1,0.0381,0.0248,0.394,0.0508,0.286,0.286,0,0.0796,0.0796,0.0494,0.0221,0.0221,0.115,0.72
1,0.0599,0.0406,0.407,0.13,0.23,0.23,0,0.125,0.125,0.0741,0.0736,0.0736,0.391,0.72
1,0.136,0.0655,0.456,0.305,0.218,0.218,0,0.25,0.25,0.198,0.147,0.147,0.897,0.76
0.869,0.229,0.0903,0.518,0.386,0.211,0.211,0,0.557,0.557,0.395,0.228,0.228,1,0.8
0.41,0.25,0.111,0.53,0.381,0.205,0.205,0,0.83,0.83,0.593,0.427,0.427,0.92,0.82
0.246,0.261,0.131,0.53,0.362,0.174,0.174,0,0.977,0.977,0.84,0.478,0.478,0.77,0.82
0.246,0.229,0.147,0.53,0.351,0.137,0.137,0,0.955,0.955,0.963,0.412,0.412,0.644,0.8
0.246,0.272,0.163,0.542,0.335,0.0933,0.0933,0,0.852,0.852,1,0.353,0.353,0.54,0.8
0.246,0.31,0.172,0.555,0.324,0.0746,0.0746,0,0.762,0.762,0.914,0.302,0.302,0.46,0.84
0.246,0.25,0.194,0.555,0.32,0.0684,0.0684,0,0.682,0.682,0.827,0.338,0.338,0.402,0.84
0.246,0.31,0.205,0.542,0.32,0.0684,0.0684,0,0.557,0.557,0.704,0.265,0.265,0.379,0.84
0.246,0.24,0.23,0.567,0.321,0.0746,0.0746,0,0.591,0.591,0.753,0.28,0.28,0.356,0.82
0.295,0.501,0.287,0.592,0.324,0.118,0.118,0,0.568,0.568,0.679,0.28,0.28,0.448,0.88
0.541,0.817,0.352,0.641,0.338,0.23,0.23,0,0.557,0.557,0.667,0.361,0.361,0.586,0.96
0.885,0.637,0.474,0.653,0.377,0.305,0.305,0,0.557,0.557,0.63,0.64,0.64,0.69,1
0.885,0.327,0.664,0.616,0.461,0.404,0.404,0,0.557,0.557,0.63,0.817,0.817,0.69,0.96
0.885,0.191,0.82,0.579,0.59,0.566,0.566,0,0.557,0.557,0.642,0.662,0.662,0.632,0.94
1,0.136,0.777,0.555,0.72,0.653,0.653,0,0.534,0.534,0.667,0.493,0.493,0.552,0.92
1,0.0871,0.47,0.493,0.554,0.566,0.566,0,0.364,0.364,0.543,0.324,0.324,0.437,0.88
1,0.0599,0.203,0.444,0.249,0.392,0.392,0,0.193,0.193,0.296,0.228,0.228,0.299,0.82
1,0.0381,0.0835,0.431,0.124,0.286,0.286,0,0.102,0.102,0.123,0.11,0.11,0.138,0.8
1,0.0381,0.0406,0.407,0.0743,0.286,0.286,0,0.0796,0.0796,0.0741,0.0515,0.0515,0.069,0.78
1,0.0218,0.0203,0.394,0.0495,0.286,0.286,0,0.0455,0.0455,0.0494,0.0368,0.0368,0.046,0.76
1,0.0218,0.0158,0.382,0.0495,0.286,0.286,0,0.0455,0.0455,0.0247,0.0221,0.0221,0.0575,0.74
1,0.0381,0.0248,0.394,0.0508,0.286,0.286,0,0.0796,0.0796,0.0494,0.0221,0.0221,0.115,0.72
1,0.0599,0.0406,0.407,0.13,0.23,0.23,0,0.125,0.125,0.0741,0.0736,0.0736,0.391,0.72
1,0.136,0.0655,0.456,0.305,0.218,0.218,0,0.25,0.25,0.198,0.147,0.147,0.897,0.76
0.869,0.229,0.0903,0.518,0.386,0.211,0.211,0,0.557,0.557,0.395,0.228,0.228,1,0.8
0.41,0.25,0.111,0.53,0.381,0.205,0.205,0,0.83,0.83,0.593,0.427,0.427,0.92,0.82
0.246,0.261,0.131,0.53,0.362,0.174,0.174,0,0.977,0.977,0.84,0.478,0.478,0.77,0.82
0.246,0.229,0.147,0.53,0.351,0.137,0.137,0,0.955,0.955,0.963,0.412,0.412,0.644,0.8
0.246,0.272,0.163,0.542,0.335,0.0933,0.0933,0,0.852,0.852,1,0.353,0.353,0.54,0.8
0.246,0.31,0.172,0.555,0.324,0.0746,0.0746,0,0.762,0.762,0.914,0.302,0.302,0.46,0.84
0.246,0.25,0.194,0.555,0.32,0.0684,0.0684,0,0.682,0.682,0.827,0.338,0.338,0.402,0.84
0.246,0.31,0.205,0.542,0.32,0.0684,0.0684,0,0.557,0.557,0.704,0.265,0.265,0.379,0.84
0.246,0.24,0.23,0.567,0.321,0.0746,0.0746,0,0.591,0.591,0.753,0.28,0.28,0.356,0.82
0.295,0.501,0.287,0.592,0.324,0.118,0.118,0,0.568,0.568,0.679,0.28,0.28,0.448,0.88
0.541,0.817,0.352,0.641,0.338,0.23,0.23,0,0.557,0.557,0.667,0.361,0.361,0.586,0.96
0.885,0.637,0.474,0.653,0.377,0.305,0.305,0,0.557,0.557,0.63,0.64,0.64,0.69,1
0.885,0.327,0.664,0.616,0.461,0.404,0.404,0,0.557,0.557,0.63,0.817,0.817,0.69,0.96
0.885,0.191,0.82,0.579,0.59,0.566,0.566,0,0.557,0.557,0.642,0.662,0.662,0.632,0.94
1,0.136,0.777,0.555,0.72,0.653,0.653,0,0.534,0.534,0.667,0.493,0.493,0.552,0.92
1,0.0871,0.47,0.493,0.554,0.566,0.566,0,0.364,0.364,0.543,0.324,0.324,0.437,0.88
1,0.0599,0.203,0.444,0.249,0.392,0.392,0,0.193,0.193,0.296,0.228,0.228,0.299,0.82
1,0.0381,0.0993,0.431,0.124,0.286,0.286,0,0.102,0.102,0.123,0.11,0.11,0.138,0.8
1,0.0381,0.0497,0.407,0.0743,0.286,0.286,0,0.0796,0.0796,0.0741,0.0515,0.0515,0.069,0.78
1,0.0218,0.0271,0.394,0.0495,0.28,0.28,0,0.0455,0.0455,0.0494,0.0368,0.0368,0.046,0.76
1,0.0218,0.0181,0.382,0.0495,0.28,0.28,0,0.0455,0.0455,0.0247,0.0221,0.0221,0.0575,0.74
1,0.0381,0.0248,0.394,0.0508,0.286,0.286,0,0.0796,0.0796,0.0494,0.0221,0.0221,0.115,0.72
1,0.0599,0.0316,0.407,0.13,0.28,0.28,0,0.125,0.125,0.0741,0.0736,0.0736,0.391,0.72
1,0.136,0.0542,0.456,0.305,0.274,0.274,0,0.25,0.25,0.198,0.147,0.147,0.897,0.76
0.869,0.229,0.0971,0.518,0.386,0.255,0.255,0,0.557,0.557,0.395,0.228,0.228,1,0.8
0.41,0.25,0.16,0.53,0.381,0.224,0.224,0,0.83,0.83,0.593,0.427,0.427,0.92,0.82
0.246,0.261,0.212,0.53,0.362,0.187,0.187,0,0.977,0.977,0.84,0.478,0.478,0.77,0.82
0.246,0.229,0.253,0.53,0.351,0.149,0.149,0,0.955,0.955,0.963,0.412,0.412,0.644,0.8
0.246,0.272,0.278,0.542,0.335,0.0995,0.0995,0,0.852,0.852,1,0.353,0.353,0.54,0.8
0.246,0.31,0.298,0.555,0.324,0.0746,0.0746,0,0.762,0.762,0.914,0.302,0.302,0.46,0.84
0.246,0.25,0.352,0.555,0.32,0.0684,0.0684,0,0.682,0.682,0.827,0.338,0.338,0.402,0.84
0.246,0.31,0.402,0.542,0.32,0.0684,0.0684,0,0.557,0.557,0.704,0.265,0.265,0.379,0.84
0.246,0.24,0.443,0.567,0.321,0.0746,0.0746,0,0.591,0.591,0.753,0.28,0.28,0.356,0.82
0.295,0.501,0.465,0.592,0.324,0.118,0.118,0,0.568,0.568,0.679,0.28,0.28,0.448,0.88
0.541,0.817,0.481,0.641,0.338,0.236,0.236,0,0.557,0.557,0.667,0.361,0.361,0.586,0.96
0.885,0.637,0.567,0.653,0.377,0.299,0.299,0,0.557,0.557,0.63,0.64,0.64,0.69,1
0.885,0.327,0.745,0.616,0.461,0.373,0.373,0,0.557,0.557,0.63,0.817,0.817,0.69,0.96
0.885,0.191,0.876,0.579,0.59,0.516,0.516,0,0.557,0.557,0.642,0.662,0.662,0.632,0.94
1,0.136,0.808,0.555,0.72,0.61,0.61,0,0.534,0.534,0.667,0.493,0.493,0.552,0.92
1,0.0871,0.51,0.493,0.554,0.529,0.529,0,0.364,0.364,0.543,0.324,0.324,0.437,0.88
1,0.0599,0.233,0.444,0.249,0.367,0.367,0,0.193,0.193,0.296,0.228,0.228,0.299,0.82
1,0.0381,0.0993,0.431,0.124,0.286,0.286,0,0.102,0.102,0.123,0.11,0.11,0.138,0.8
1,0.0381,0.0497,0.407,0.0743,0.286,0.286,0,0.0796,0.0796,0.0741,0.0515,0.0515,0.069,0.78
1,0.0218,0.0271,0.394,0.0495,0.28,0.28,0,0.0455,0.0455,0.0494,0.0368,0.0368,0.046,0.76
1,0.0218,0.0181,0.382,0.0495,0.28,0.28,0,0.0455,0.0455,0.0247,0.0221,0.0221,0.0575,0.74
1,0.0381,0.0248,0.394,0.0508,0.286,0.286,0,0.0796,0.0796,0.0494,0.0221,0.0221,0.115,0.72
1,0.0599,0.0316,0.407,0.13,0.28,0.28,0,0.125,0.125,0.0741,0.0736,0.0736,0.391,0.72
1,0.136,0.0542,0.456,0.305,0.274,0.274,0,0.25,0.25,0.198,0.147,0.147,0.897,0.76
0.869,0.229,0.0971,0.518,0.386,0.255,0.255,0,0.557,0.557,0.395,0.228,0.228,1,0.8
0.41,0.25,0.16,0.53,0.381,0.224,0.224,0,0.83,0.83,0.593,0.427,0.427,0.92,0.82
0.246,0.261,0.212,0.53,0.362,0.187,0.187,0,0.977,0.977,0.84,0.478,0.478,0.77,0.82
0.246,0.229,0.253,0.53,0.351,0.149,0.149,0,0.955,0.955,0.963,0.412,0.412,0.644,0.8
0.246,0.272,0.278,0.542,0.335,0.0995,0.0995,0,0.852,0.852,1,0.353,0.353,0.54,0.8
0.246,0.31,0.298,0.555,0.324,0.0746,0.0746,0,0.762,0.762,0.914,0.302,0.302,0.46,0.84
0.246,0.25,0.352,0.555,0.32,0.0684,0.0684,0,0.682,0.682,0.827,0.338,0.338,0.402,0.84
0.246,0.31,0.402,0.542,0.32,0.0684,0.0684,0,0.557,0.557,0.704,0.265,0.265,0.379,0.84
0.246,0.24,0.443,0.567,0.321,0.0746,0.0746,0,0.591,0.591,0.753,0.28,0.28,0.356,0.82
0.295,0.501,0.465,0.592,0.324,0.118,0.118,0,0.568,0.568,0.679,0.28,0.28,0.448,0.88
0.541,0.817,0.481,0.641,0.338,0.236,0.236,0,0.557,0.557,0.667,0.361,0.361,0.586,0.96
0.885,0.637,0.567,0.653,0.377,0.299,0.299,0,0.557,0.557,0.63,0.64,0.64,0.69,1
0.885,0.327,0.745,0.616,0.461,0.373,0.373,0,0.557,0.557,0.63,0.817,0.817,0.69,0.96
0.885,0.191,0.876,0.579,0.59,0.516,0.516,0,0.557,0.557,0.642,0.662,0.662,0.632,0.94
1,0.136,0.808,0.555,0.72,0.61,0.61,0,0.534,0.534,0.667,0.493,0.493,0.552,0.92
1,0.0871,0.51,0.493,0.554,0.529,0.529,0,0.364,0.364,0.543,0.324,0.324,0.437,0.88
1,0.0599,0.233,0.444,0.249,0.367,0.367,0,0.193,0.193,0.296,0.228,0.228,0.299,0.82
1,0.0381,0.0835,0.431,0.124,0.286,0.286,0,0.102,0.102,0.123,0.11,0.11,0.138,0.8
1,0.0381,0.0406,0.407,0.0743,0.286,0.286,0,0.0796,0.0796,0.0741,0.0515,0.0515,0.069,0.78
1,0.0218,0.0203,0.394,0.0495,0.286,0.286,0,0.0455,0.0455,0.0494,0.0368,0.0368,0.046,0.76
1,0.0218,0.0158,0.382,0.0495,0.286,0.286,0,0.0455,0.0455,0.0247,0.0221,0.0221,0.0575,0.74
1,0.0381,0.0248,0.394,0.0508,0.286,0.286,0,0.0796,0.0796,0.0494,0.0221,0.0221,0.115,0.72
1,0.0599,0.0406,0.407,0.13,0.23,0.23,0,0.125,0.125,0.0741,0.0736,0.0736,0.391,0.72
1,0.136,0.0655,0.456,0.305,0.218,0.218,0,0.25,0.25,0.198,0.147,0.147,0.897,0.76
0.869,0.229,0.0903,0.518,0.386,0.211,0.211,0,0.557,0.557,0.395,0.228,0.228,1,0.8
0.41,0.25,0.111,0.53,0.381,0.205,0.205,0,0.83,0.83,0.593,0.427,0.427,0.92,0.82
0.246,0.261,0.131,0.53,0.362,0.174,0.174,0,0.977,0.977,0.84,0.478,0.478,0.77,0.82
0.246,0.229,0.147,0.53,0.351,0.137,0.137,0,0.955,0.955,0.963,0.412,0.412,0.644,0.8
0.246,0.272,0.163,0.542,0.335,0.0933,0.0933,0,0.852,0.852,1,0.353,0.353,0.54,0.8
0.246,0.31,0.172,0.555,0.324,0.0746,0.0746,0,0.762,0.762,0.914,0.302,0.302,0.46,0.84
0.246,0.25,0.194,0.555,0.32,0.0684,0.0684,0,0.682,0.682,0.827,0.338,0.338,0.402,0.84
0.246,0.31,0.205,0.542,0.32,0.0684,0.0684,0,0.557,0.557,0.704,0.265,0.265,0.379,0.84
0.246,0.24,0.23,0.567,0.321,0.0746,0.0746,0,0.591,0.591,0.753,0.28,0.28,0.356,0.82
0.295,0.501,0.287,0.592,0.324,0.118,0.118,0,0.568,0.568,0.679,0.28,0.28,0.448,0.88
0.541,0.817,0.352,0.641,0.338,0.23,0.23,0,0.557,0.557,0.667,0.361,0.361,0.586,0.96
0.885,0.637,0.474,0.653,0.377,0.305,0.305,0,0.557,0.557,0.63,0.64,0.64,0.69,1
0.885,0.327,0.664,0.616,0.461,0.404,0.404,0,0.557,0.557,0.63,0.817,0.817,0.69,0.96
0.885,0.191,0.82,0.579,0.59,0.566,0.566,0,0.557,0.557,0.642,0.662,0.662,0.632,0.94
1,0.136,0.777,0.555,0.72,0.653,0.653,0,0.534,0.534,0.667,0.493,0.493,0.552,0.92
1,0.0871,0.47,0.493,0.554,0.566,0.566,0,0.364,0.364,0.543,0.324,0.324,0.437,0.88
1,0.0599,0.203,0.444,0.249,0.392,0.392,0,0.193,0.193,0.296,0.228,0.228,0.299,0.82
1,0.0381,0.0835,0.431,0.124,0.286,0.286,0,0.102,0.102,0.123,0.11,0.11,0.138,0.8
1,0.0381,0.0406,0.407,0.0743,0.286,0.286,0,0.0796,0.0796,0.0741,0.0515,0.0515,0.069,0.78
1,0.0218,0.0203,0.394,0.0495,0.286,0.286,0,0.0455,0.0455,0.0494,0.0368,0.0368,0.046,0.76
1,0.0218,0.0158,0.382,0.0495,0.286,0.286,0,0.0455,0.0455,0.0247,0.0221,0.0221,0.0575,0.74
1,0.0381,0.0248,0.394,0.0508,0.286,0.286,0,0.0796,0.0796,0.0494,0.0221,0.0221,0.115,0.72
1,0.0599,0.0406,0.407,0.13,0.23,0.23,0,0.125,0.125,0.0741,0.0736,0.0736,0.391,0.72
1,0.136,0.0655,0.456,0.305,0.218,0.218,0,0.25,0.25,0.198,0.147,0.147,0.897,0.76
0.869,0.229,0.0903,0.518,0.386,0.211,0.211,0,0.557,0.557,0.395,0.228,0.228,1,0.8
0.41,0.25,0.111,0.53,0.381,0.205,0.205,0,0.83,0.83,0.593,0.427,0.427,0.92,0.82
0.246,0.261,0.131,0.53,0.362,0.174,0.174,0,0.977,0.977,0.84,0.478,0.478,0.77,0.82
0.246,0.229,0.147,0.53,0.351,0.137,0.137,0,0.955,0.955,0.963,0.412,0.412,0.644,0.8
0.246,0.272,0.163,0.542,0.335,0.0933,0.0933,0,0.852,0.852,1,0.353,0.353,0.54,0.8
0.246,0.31,0.172,0.555,0.324,0.0746,0.0746,0,0.762,0.762,0.914,0.302,0.302,0.46,0.84
0.246,0.25,0.194,0.555,0.32,0.0684,0.0684,0,0.682,0.682,0.827,0.338,0.338,0.402,0.84
0.246,0.31,0.205,0.542,0.32,0.0684,0.0684,0,0.557,0.557,0.704,0.265,0.265,0.379,0.84
0.246,0.24,0.23,0.567,0.321,0.0746,0.0746,0,0.591,0.591,0.753,0.28,0.28,0.356,0.82
0.295,0.501,0.287,0.592,0.324,0.118,0.118,0,0.568,0.568,0.679,0.28,0.28,0.448,0.88
0.541,0.817,0.352,0.641,0.338,0.23,0.23,0,0.557,0.557,0.667,0.361,0.361,0.586,0.96
0.885,0.637,0.474,0.653,0.377,0.305,0.305,0,0.557,0.557,0.63,0.64,0.64,0.69,1
0.885,0.327,0.664,0.616,0.461,0.404,0.404,0,0.557,0.557,0.63,0.817,0.817,0.69,0.96
0.885,0.191,0.82,0.579,0.59,0.566,0.566,0,0.557,0.557,0.642,0.662,0.662,0.632,0.94
1,0.136,0.777,0.555,0.72,0.653,0.653,0,0.534,0.534,0.667,0.493,0.493,0.552,0.92
1,0.0871,0.47,0.493,0.554,0.566,0.566,0,0.364,0.364,0.543,0.324,0.324,0.437,0.88
1,0.0599,0.203,0.444,0.249,0.392,0.392,0,0.193,0.193,0.296,0.228,0.228,0.299,0.82
1,0.0381,0.0805,0.431,0.124,0.286,0.286,0,0.102,0.102,0.123,0.11,0.11,0.138,0.8
1,0.0381,0.0392,0.407,0.0743,0.286,0.286,0,0.0796,0.0796,0.0741,0.0515,0.0515,0.069,0.78
1,0.0218,0.0196,0.394,0.0495,0.286,0.286,0,0.0455,0.0455,0.0494,0.0368,0.0368,0.046,0.76
1,0.0218,0.0152,0.382,0.0495,0.286,0.286,0,0.0455,0.0455,0.0247,0.0221,0.0221,0.0575,0.74
1,0.0381,0.0239,0.394,0.0511,0.286,0.286,0,0.0796,0.0796,0.0494,0.0221,0.0221,0.115,0.72
1,0.0599,0.0392,0.407,0.131,0.23,0.23,0,0.125,0.125,0.0741,0.0736,0.0736,0.391,0.72
1,0.136,0.0631,0.456,0.308,0.218,0.218,0,0.25,0.25,0.198,0.147,0.147,0.897,0.76
0.869,0.229,0.087,0.518,0.39,0.211,0.211,0,0.557,0.557,0.395,0.228,0.228,1,0.8
0.41,0.25,0.107,0.53,0.387,0.205,0.205,0,0.83,0.83,0.593,0.427,0.427,0.92,0.82
0.246,0.261,0.126,0.53,0.37,0.174,0.174,0,0.977,0.977,0.84,0.478,0.478,0.77,0.82
0.246,0.229,0.141,0.53,0.359,0.137,0.137,0,0.955,0.955,0.963,0.412,0.412,0.644,0.8
0.246,0.272,0.157,0.542,0.343,0.0933,0.0933,0,0.852,0.852,1,0.353,0.353,0.54,0.8
0.246,0.31,0.165,0.555,0.331,0.0746,0.0746,0,0.762,0.762,0.914,0.302,0.302,0.46,0.84
0.246,0.25,0.187,0.555,0.328,0.0684,0.0684,0,0.682,0.682,0.827,0.338,0.338,0.402,0.84
0.246,0.31,0.198,0.542,0.327,0.0684,0.0684,0,0.557,0.557,0.704,0.265,0.265,0.379,0.84
0.246,0.24,0.222,0.567,0.329,0.0746,0.0746,0,0.591,0.591,0.753,0.28,0.28,0.356,0.82
0.295,0.501,0.276,0.592,0.334,0.118,0.118,0,0.568,0.568,0.679,0.28,0.28,0.448,0.88
0.541,0.817,0.339,0.641,0.353,0.23,0.23,0,0.557,0.557,0.667,0.361,0.361,0.586,0.96
